SKU,GLOSSY WHITE,SLICED OAK SHAKER,BLACK WALNUT,WEATHERED OAK SHAKER,GLOSSY GREY,NATURAL OAK,WHITE OAK,MATTE WHITE,MATTE GREY,MATTE BLUE,GLOSSY BLACK,SLICED OAK,WEATHERED OAK
W2142,805.35,760.5,712.54,760.5,805.35,658.61,658.61,805.35,805.35,805.35,805.35,,
W2430,673.67,637.22,598.35,637.22,673.67,554.53,554.53,673.67,673.67,673.67,673.67,,
W2436,767.97,724.16,677.47,724.16,767.97,624.91,624.91,767.97,767.97,767.97,767.97,,
W2442,916.32,865.26,810.75,865.26,916.32,749.34,749.34,916.32,916.32,916.32,916.32,,
W2730,737.73,696.67,652.86,696.67,737.73,603.52,603.52,737.73,737.73,737.73,737.73,,
W2736,840.19,790.86,738.19,790.86,840.19,679.08,679.08,840.19,840.19,840.19,840.19,,
W2742,1001.88,944.27,882.86,944.27,1001.88,813.74,813.74,1001.88,1001.88,1001.88,1001.88,,
W3030,801.78,756.01,707.37,756.01,801.78,652.51,652.51,801.78,801.78,801.78,801.78,,
W3036,912.53,857.67,799.14,857.67,912.53,733.36,733.36,912.53,912.53,912.53,912.53,,
W3042,1087.44,1023.39,955.19,1023.39,1087.44,878.26,878.26,1087.44,1087.44,1087.44,1087.44,,
W3330,865.49,815.24,761.65,815.24,865.49,701.27,701.27,865.49,865.49,865.49,865.49,,
W3336,984.86,924.49,860.09,924.49,984.86,787.64,787.64,984.86,984.86,984.86,984.86,,
W3342,1172.89,1102.39,1027.18,1102.39,1172.89,942.66,942.66,1172.89,1172.89,1172.89,1172.89,,
W3630,929.55,874.69,816.04,874.69,929.55,750.26,750.26,929.55,929.55,929.55,929.55,,
W3636,1057.2,991.3,920.92,991.3,1057.2,841.92,841.92,1057.2,1057.2,1057.2,1057.2,,
W3642,1258.45,1181.51,1099.4,1181.51,1258.45,1007.17,1007.17,1258.45,1258.45,1258.45,1258.45,,
WDC2430,913.45,891.02,867.1,891.02,913.45,840.19,840.19,913.45,913.45,913.45,913.45,,
WDC2436,1015.22,988.31,959.56,988.31,1015.22,927.25,927.25,1015.22,1015.22,1015.22,1015.22,,
WDC2442,1225.56,1194.16,1160.58,1194.16,1225.56,1122.86,1122.86,1225.56,1225.56,1225.56,1225.56,,
WDC2730,1091.01,1062.14,1031.32,1062.14,1091.01,996.71,996.71,1091.01,1091.01,1091.01,1091.01,,
WDC2736,1207.04,1172.31,1135.28,1172.31,1207.04,1093.77,1093.77,1207.04,1207.04,1207.04,1207.04,,
